qC_l_hip_yaw	qC_l_hip_rol	qC_l_hip_pit	qC_l_kne	qC_l_ank	qC_r_hip_yaw	qC_r_hip_rol	qC_r_hip_pit	qC_r_kne	qC_r_ank	torso	qC_l_shd_pit	qC_l_shd_rol	qC_l_shd_yaw	qC_l_elb	qC_r_shd_pit	qC_r_shd_rol	qC_r_shd_yaw	qC_r_elb	qP_l_hip_yaw	qP_l_hip_rol	qP_l_hip_pit	qP_l_kne	qP_l_ank	qP_r_hip_yaw	qP_r_hip_rol	qP_r_hip_pit	qP_r_kne	qP_r_ank	torso	qP_l_shd_pit	qP_l_shd_rol	qP_l_shd_yaw	qP_l_elb	qP_r_shd_pit	qP_r_shd_rol	qP_r_shd_yaw	qP_r_elb	qV_l_hip_yaw	qV_l_hip_rol	qV_l_hip_pit	qV_l_kne	qV_l_ank	qV_r_hip_yaw	qV_r_hip_rol	qV_r_hip_pit	qV_r_kne	qV_r_ank	torso	qV_l_shd_pit	qV_l_shd_rol	qV_l_shd_yaw	qV_l_elb	qV_r_shd_pit	qV_r_shd_rol	qV_r_shd_yaw	qV_r_elb	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	
0.178495	0.147244	-0.010964	0.587348	-0.029746	0.183293	0.223363	-0.015387	0.588978	-0.031622	0.182134	0.187813	0.179952	0.182077	0.189441	0.193294	0.185895	0.186394	0.190046	0.155384	0.083150	-0.026661	0.571511	-0.054993	0.162688	0.229066	-0.044839	0.559607	-0.064572	0.178453	0.191859	0.167460	0.166306	0.174336	0.187636	0.180582	0.171379	0.174487	0.950469	0.815169	0.881226	0.948473	0.819673	0.834049	1.075338	1.178465	0.800558	0.865285	1.013172	0.871993	0.622469	0.844864	1.271172	0.546002	0.737840	0.871993	0.941752	-0.059956	0.025226	0.151532	-0.011867	-0.097702	0.137951	
0.185850	0.154599	-0.003609	0.594704	-0.022391	0.190648	0.230719	-0.008032	0.596334	-0.024267	0.189489	0.195168	0.187307	0.189432	0.196796	0.200649	0.193250	0.193749	0.197402	0.162772	0.090181	-0.019375	0.578750	-0.047877	0.169411	0.238985	-0.034944	0.567069	-0.056848	0.186097	0.198274	0.172449	0.172119	0.182147	0.192153	0.186252	0.177132	0.181542	0.819883	0.759079	0.762786	0.835710	0.666739	0.779082	0.991956	1.100068	0.773588	0.816990	0.870831	0.564783	0.508439	0.751852	1.135528	0.390384	0.490999	0.837113	0.809984	-0.059629	0.024528	0.153013	0.053832	-0.012847	0.156408	
0.193016	0.161766	0.003557	0.601870	-0.015225	0.197814	0.237885	-0.000866	0.603500	-0.017101	0.196655	0.202334	0.194474	0.196599	0.203962	0.207816	0.200416	0.200915	0.204568	0.169471	0.097774	-0.012983	0.585301	-0.041326	0.175905	0.247218	-0.025383	0.574851	-0.048568	0.192796	0.202738	0.177019	0.179719	0.190322	0.195014	0.189962	0.184974	0.189051	0.730741	0.738322	0.701612	0.726218	0.751255	0.684072	0.903314	1.002600	0.758096	0.894799	0.753864	0.508439	0.527220	0.825487	1.216914	0.312576	0.368920	0.914624	0.937877	-0.058762	0.024652	0.154625	0.150937	0.039694	0.197133	
0.199987	0.168736	0.010528	0.608841	-0.008254	0.204785	0.244855	0.006105	0.610470	-0.010130	0.203626	0.209305	0.201444	0.203569	0.210933	0.214786	0.207387	0.207886	0.211538	0.176374	0.104780	-0.006949	0.590654	-0.034126	0.182501	0.254555	-0.017099	0.582473	-0.040739	0.198983	0.206721	0.181651	0.186622	0.197922	0.198253	0.193547	0.192301	0.197983	0.694479	0.734679	0.632344	0.614602	0.776744	0.652594	0.807580	0.926016	0.769420	0.839796	0.669213	0.342090	0.497707	0.926250	1.058018	0.366237	0.442704	0.961130	1.027014	-0.057647	0.025535	0.156221	0.148135	0.134227	0.159902	
0.206755	0.175504	0.017296	0.615608	-0.001486	0.211553	0.251623	0.012873	0.617238	-0.003362	0.210394	0.216073	0.208212	0.210337	0.217701	0.221554	0.214155	0.214654	0.218306	0.183456	0.113012	-0.002731	0.595096	-0.026968	0.189328	0.261075	-0.010324	0.589408	-0.033193	0.203764	0.208754	0.184512	0.193677	0.203887	0.202151	0.197498	0.199235	0.204795	0.700509	0.747842	0.531786	0.519428	0.767354	0.660755	0.715878	0.796859	0.748429	0.802233	0.583900	0.210620	0.207937	0.790607	0.972756	0.464169	0.465510	0.879744	1.027014	-0.056268	0.027005	0.157385	0.185042	0.172598	0.125732	
0.213313	0.182063	0.023854	0.622167	0.005072	0.218111	0.258182	0.019431	0.623797	0.003196	0.216952	0.222631	0.214771	0.216896	0.224259	0.228113	0.220713	0.221212	0.224865	0.191228	0.120656	-0.000737	0.598835	-0.019862	0.196052	0.267518	-0.003523	0.596982	-0.026381	0.209005	0.211196	0.186472	0.199944	0.211910	0.207004	0.202319	0.206017	0.211910	0.758088	0.792863	0.354011	0.425633	0.867968	0.680809	0.670624	0.698292	0.747005	0.720400	0.533656	0.335382	0.253549	0.759603	0.910748	0.554051	0.602346	0.996010	1.058018	-0.054674	0.029004	0.158346	0.182071	0.206328	0.111573	
0.219656	0.188405	0.030197	0.628510	0.011415	0.224454	0.264525	0.025774	0.630140	0.009539	0.223295	0.228974	0.221114	0.223238	0.230602	0.234455	0.227056	0.227555	0.231208	0.198438	0.130857	0.002024	0.602175	-0.013259	0.202929	0.273756	0.002357	0.604076	-0.019988	0.214860	0.214686	0.189072	0.204123	0.217966	0.211909	0.206847	0.210982	0.218995	0.795574	0.821092	0.254564	0.363619	0.629176	0.696972	0.613289	0.662733	0.750856	0.693570	0.516791	0.347456	0.320625	0.410806	1.019263	0.401117	0.344773	0.329420	0.999885	-0.053064	0.031476	0.159284	0.193884	0.230666	0.143238	
0.225777	0.194526	0.036318	0.634630	0.017536	0.230575	0.270645	0.031895	0.636260	0.015660	0.229415	0.235095	0.227234	0.229359	0.236723	0.240576	0.233177	0.233675	0.237328	0.205366	0.138783	0.004862	0.604300	-0.007358	0.209857	0.278588	0.009183	0.610292	-0.014192	0.218746	0.218208	0.192362	0.209179	0.223476	0.215755	0.209729	0.216614	0.224506	0.752204	0.850787	0.270411	0.296835	0.657348	0.710647	0.544496	0.591352	0.709445	0.567466	0.459222	0.488316	0.374286	0.499943	0.798358	0.521854	0.307210	0.592955	0.728598	-0.051426	0.034245	0.160095	0.200375	0.244210	0.096289	
0.231669	0.200419	0.042210	0.640523	0.023428	0.236467	0.276538	0.037787	0.642153	0.021552	0.235308	0.240987	0.233127	0.235252	0.242615	0.246469	0.239069	0.239568	0.243221	0.213061	0.146836	0.007163	0.607208	-0.000619	0.216275	0.283906	0.014757	0.616013	-0.008658	0.222683	0.223354	0.196775	0.214871	0.229653	0.220335	0.212988	0.223759	0.230258	0.698235	0.851969	0.246103	0.269853	0.582223	0.695613	0.550971	0.593631	0.648947	0.647958	0.418383	0.670764	0.442704	0.720847	0.879744	0.598321	0.452095	0.868117	0.771229	-0.049852	0.037282	0.160686	0.168337	0.274053	0.100010	
0.237328	0.206077	0.047869	0.646181	0.029087	0.242126	0.282196	0.043446	0.647811	0.027211	0.240967	0.246646	0.238785	0.240910	0.248274	0.252127	0.244728	0.245227	0.248879	0.218839	0.154966	0.009464	0.610612	0.004904	0.223766	0.289019	0.018771	0.622756	-0.001269	0.227208	0.227808	0.201302	0.221563	0.236102	0.225083	0.216835	0.230360	0.236465	0.646025	0.857619	0.237293	0.288871	0.579540	0.653130	0.533304	0.541976	0.590214	0.706985	0.429134	0.323308	0.646616	0.864242	0.887495	0.606370	0.458802	0.558075	0.864242	-0.048511	0.040207	0.161085	0.146361	0.257393	0.055749	
